#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
1943;1943 - The Battle of Midway (0.37b5);mame0.37b5;;1987;Capcom;;;;;;0;;;;;;;;;
arkanoid;Arkanoid (0.37b5);mame0.37b5;;1986;Taito Corporation Japan;;;;;;0;;;;;;;;;
astdelux;Asteroids Deluxe (0.37b5);mame0.37b5;;1980;Atari;;;;;;0;;;;;;;;;
asteroid;Asteroids (0.37b5);mame0.37b5;;1979;Atari;;;;;;0;;;;;;;;;
baddudes;Bad Dudes vs. Dragonninja (0.37b5);mame0.37b5;;1988;Data East USA;;;;;;0;;;;;;;;;
berzerk;Berzerk (0.37b5);mame0.37b5;;1980;Stern;;;;;;0;;;;;;;;;
btime;Burger Time (0.37b5);mame0.37b5;;1982;Data East Corporation;;;;;;0;;;;;;;;;
bwidow;Black Widow (0.37b5);mame0.37b5;;1982;Atari;;;;;;0;;;;;;;;;
bzone;Battle Zone (0.37b5);mame0.37b5;;1980;Atari;;;;;;0;;;;;;;;;
centiped;Centipede (0.37b5);mame0.37b5;;1980;Atari;;;;;;0;;;;;;;;;
cyberbal;Cyberball (0.37b5);mame0.37b5;;1988;Atari Games;;;;;;0;;;;;;;;;
ddragon;Double Dragon (0.37b5);mame0.37b5;;1987;Technos;;;;;;0;;;;;;;;;
defender;Defender (0.37b5);mame0.37b5;;1980;Williams;;;;;;0;;;;;;;;;
digdug;Dig Dug (0.37b5);mame0.37b5;;1982;Namco;;;;;;0;;;;;;;;;
dkong;Donkey Kong (0.37b5);mame0.37b5;;1981;Nintendo of America;;;;;;0;;;;;;;;;
dkongjr;Donkey Kong Junior (0.37b5);mame0.37b5;;1982;Nintendo of America;;;;;;0;;;;;;;;;
eagle;Eagle (0.37b5);mame0.37b5;mooncrst;1980;Centuri;;;;;;0;;mooncrst;;;;;;;
elevator;Elevator Action (0.37b5);mame0.37b5;;1983;Taito Corporation;;;;;;0;;;;;;;;;
frogger;Frogger (0.37b5);mame0.37b5;;1981;Konami;;;;;;0;;;;;;;;;
galaga;Galaga (0.37b5);mame0.37b5;;1981;Namco;;;;;;0;;;;;;;;;
galaxian;Galaxian (0.37b5);mame0.37b5;;1979;Namco;;;;;;0;;;;;;;;;
gauntlet;Gauntlet;mame0.37b5;;1985;Atari Games;;;;;;0;;;;;;;;;
ghouls;Ghouls'n Ghosts (0.37b5);mame0.37b5;;1988;Capcom;;;;;;0;;;;;;;;;
gng;Ghosts'n Goblins (0.37b5);mame0.37b5;;1985;Capcom;;;;;;0;;;;;;;;;
goldnaxe;Golden Axe (0.37b5);mame0.37b5;;1989;Sega;;;;;;0;;;;;;;;;
gorf;Gorf (0.37b5);mame0.37b5;;1981;Midway;;;;;;0;;;;;;;;;
gyruss;Gyruss (0.37b5);mame0.37b5;;1983;Konami;;;;;;0;;;;;;;;;
joust;Joust (0.37b5);mame0.37b5;;1982;Williams;;;;;;0;;;;;;;;;
