#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
88games;'88 Games;mame;;1988;Konami;;4;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;;3;;;;
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);mame;gtmr;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;;;2;;;;
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);mame;gtmr;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;;;2;;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);mame;gtmr;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;;;2;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);mame;;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;;;;2;;;;
1941j;1941: Counter Attack (Japan);mame;1941;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1941;;;2;;;;
1941u;1941: Counter Attack (USA 900227);mame;1941;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1941;;;2;;;;
1941;1941: Counter Attack (World 900227);mame;;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1941r1;1941: Counter Attack (World);mame;1941;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1941;;;2;;;;
1942b;1942 (First Version);mame;1942;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2;;;;
1942a;1942 (Revision A);mame;1942;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2;;;;
1942abl;1942 (Revision A, bootleg);mame;1942;1984;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2;;;;
1942;1942 (Revision B);mame;;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1942p;1942 (Tecfri PCB, bootleg?);mame;1942;1984;bootleg;;1;270;joystick (8-way);good;1;raster;1942;;;2;;;;
1942w;1942 (Williams Electronics license);mame;1942;1985;Capcom (Williams Electronics license);;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2;;;;
1943kai;1943 Kai: Midway Kaisen (Japan);mame;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1943b;1943: Battle of Midway (bootleg, hack of Japan set);mame;1943;1987;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943ja;1943: Midway Kaisen (Japan);mame;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943j;1943: Midway Kaisen (Japan, Rev B);mame;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943jah;1943: Midway Kaisen (Japan, no protection hack);mame;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943bj;1943: Midway Kaisen (bootleg);mame;1943;1987;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943;1943: The Battle of Midway (Euro);mame;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1943ua;1943: The Battle of Midway (US);mame;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943u;1943: The Battle of Midway (US, Rev C);mame;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2;;;;
1943mii;1943: The Battle of Midway Mark II (US);mame;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1944;1944: The Loop Master (Euro 000620);mame;;2000;Eighting / Raizing (Capcom license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1944j;1944: The Loop Master (Japan 000620);mame;1944;2000;Eighting / Raizing (Capcom license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;1944;;;2;;;;
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);mame;1944;2000;bootleg;;2;0;joystick (8-way),joystick (8-way);good;1;raster;1944;;;2;;;;
1944u;1944: The Loop Master (USA 000620);mame;1944;2000;Eighting / Raizing (Capcom license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;1944;;;2;;;;
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);mame;bgaregga;1996;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;bgaregga;;;3;;;;
19xxar1;19XX: The War Against Destiny (Asia 951207);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxa;19XX: The War Against Destiny (Asia 960104);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxb;19XX: The War Against Destiny (Brazil 951218);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xx;19XX: The War Against Destiny (Euro 960104);mame;;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
19xxh;19XX: The War Against Destiny (Hispanic 951218);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxjr2;19XX: The War Against Destiny (Japan 951207);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxjr1;19XX: The War Against Destiny (Japan 951225);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);mame;19xx;1996;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
19xxu;19XX: The War Against Destiny (USA 951207);mame;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);mame;;1995;Midway;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
openicea;2 On 2 Open Ice Challenge (rev 1.2A);mame;openice;1995;Midway;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;openice;;;3;;;;
2020bb;2020 Super Baseball (set 1);mame;;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
2020bba;2020 Super Baseball (set 2);mame;2020bb;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;2020bb;;;4;;;;
2020bbh;2020 Super Baseball (set 3);mame;2020bb;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;2020bb;;;4;;;;
64streetj;64th. Street - A Detective Story (Japan, set 1);mame;64street;1991;Jaleco;;2;0;joystick (8-way),joystick (8-way);good;1;raster;64street;;;2;;;;
64streetja;64th. Street - A Detective Story (Japan, set 2);mame;64street;1991;Jaleco;;2;0;joystick (8-way),joystick (8-way);good;1;raster;64street;;;2;;;;
64street;64th. Street - A Detective Story (World);mame;;1991;Jaleco;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
720gr1;720 Degrees (German, rev 1);mame;720;1986;Atari Games;;1;0;joystick (analog),dial;good;1;raster;720;;;2;;;;
720g;720 Degrees (German, rev 2);mame;720;1986;Atari Games;;1;0;joystick (analog),dial;good;1;raster;720;;;2;;;;
720r1;720 Degrees (rev 1);mame;720;1986;Atari Games;;1;0;joystick (analog),dial;good;1;raster;720;;;2;;;;
720r2;720 Degrees (rev 2);mame;720;1986;Atari Games;;1;0;joystick (analog),dial;good;1;raster;720;;;2;;;;
720r3;720 Degrees (rev 3);mame;720;1986;Atari Games;;1;0;joystick (analog),dial;good;1;raster;720;;;2;;;;
720;720 Degrees (rev 4);mame;;1986;Atari Games;;1;0;joystick (analog),dial;good;1;raster;;;;2;;;;
abcopj;A.B. Cop (Japan) (FD1094 317-0169b);mame;abcop;1990;Sega;;1;0;paddle,pedal;good;1;raster;abcop;;;1;;;;
abcopjd;A.B. Cop (Japan) (bootleg of FD1094 317-0169b set);mame;abcop;1990;bootleg;;1;0;paddle,pedal;good;1;raster;abcop;;;1;;;;
abcop;A.B. Cop (World) (FD1094 317-0169b);mame;;1990;Sega;;1;0;paddle,pedal;good;1;raster;;;;1;;;;
abcopd;A.B. Cop (World) (bootleg of FD1094 317-0169b set);mame;abcop;1990;bootleg;;1;0;paddle,pedal;good;1;raster;abcop;;;1;;;;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;mame;;1994;Video System Co.;;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
aerofgts;Aero Fighters Special (Taiwan);mame;;1996;Video System Co.;;4;270;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002v;;;3;;;;
