#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
88games;'88 Games;mame0.37b5;;1988;Konami;;;;;;0;;;;;;;;;
99lstwar;'99 The Last War;mame0.37b5;sonofphx;1985;Proma;;;;;;0;;sonofphx;;;;;;;
99lstwra;'99 The Last War (alternate);mame0.37b5;sonofphx;1985;Proma;;;;;;0;;sonofphx;;;;;;;
005;005;mame0.37b5;;1981;Sega;;;;;;0;;;;;;;;;
yard;10 Yard Fight;mame0.37b5;;1983;Irem;;;;;;0;;;;;;;;;
vsyard;10 Yard Fight (Vs. version 11/05/84);mame0.37b5;yard;1984;Irem;;;;;;0;;yard;;;;;;;
vsyard2;10 Yard Fight (Vs. version, set 2);mame0.37b5;yard;1984;Irem;;;;;;0;;yard;;;;;;;
1941j;1941 - Counter Attack (Japan);mame0.37b5;1941;1990;Capcom;;;;;;0;;1941;;;;;;;
1941;1941 - Counter Attack (World);mame0.37b5;;1990;Capcom;;;;;;0;;;;;;;;;
1942;1942 (set 1);mame0.37b5;;1984;Capcom;;;;;;0;;;;;;;;;
1942a;1942 (set 2);mame0.37b5;1942;1984;Capcom;;;;;;0;;1942;;;;;;;
1942b;1942 (set 3);mame0.37b5;1942;1984;Capcom;;;;;;0;;1942;;;;;;;
1943j;1943 - The Battle of Midway (Japan);mame0.37b5;1943;1987;Capcom;;;;;;0;;1943;;;;;;;
1943;1943 - The Battle of Midway (US);mame0.37b5;;1987;Capcom;;;;;;0;;;;;;;;;
1943kai;1943 Kai;mame0.37b5;;1987;Capcom;;;;;;0;;;;;;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);mame0.37b5;;1995;Midway;;;;;;0;;;;;;;;;
2020bb;2020 Super Baseball (set 1);mame0.37b5;;1991;SNK / Pallas;;;;;;0;;neogeo;;;;;;;
2020bbh;2020 Super Baseball (set 2);mame0.37b5;2020bb;1991;SNK / Pallas;;;;;;0;;2020bb;;;;;;;
3countb;3 Count Bout / Fire Suplex;mame0.37b5;;1993;SNK;;;;;;0;;neogeo;;;;;;;
bowler;4 Player Bowling;mame0.37b5;;1978;Midway;;;;;;0;;;;;;;;;
4dwarrio;4-D Warriors;mame0.37b5;;1985;Coreland / Sega;;;;;;0;;;;;;;;;
600;600;mame0.37b5;turtles;1981;Konami;;;;;;0;;turtles;;;;;;;
64streej;64th. Street - A Detective Story (Japan);mame0.37b5;64street;1991;Jaleco;;;;;;0;;64street;;;;;;;
64street;64th. Street - A Detective Story (World);mame0.37b5;;1991;Jaleco;;;;;;0;;;;;;;;;
720;720 Degrees (set 1);mame0.37b5;;1986;Atari Games;;;;;;0;;;;;;;;;
720b;720 Degrees (set 2);mame0.37b5;720;1986;Atari Games;;;;;;0;;720;;;;;;;
800fath;800 Fathoms;mame0.37b5;mariner;1981;Amenip (US Billiards Inc. license);;;;;;0;;mariner;;;;;;;
apb;APB - All Points Bulletin (set 1);mame0.37b5;;1987;Atari Games;;;;;;0;;;;;;;;;
apb2;APB - All Points Bulletin (set 2);mame0.37b5;apb;1987;Atari Games;;;;;;0;;apb;;;;;;;
aso;ASO - Armored Scrum Object;mame0.37b5;;1985;SNK;;;;;;0;;;;;;;;;
actfancj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);mame0.37b5;actfancr;1989;Data East Corporation;;;;;;0;;actfancr;;;;;;;
actfanc1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);mame0.37b5;actfancr;1989;Data East Corporation;;;;;;0;;actfancr;;;;;;;
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);mame0.37b5;;1989;Data East Corporation;;;;;;0;;;;;;;;;
hatena;Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan);mame0.37b5;;1990;Capcom;;;;;;0;;;;;;;;;
aerofgt;Aero Fighters;mame0.37b5;;1992;Video System Co.;;;;;;0;;;;;;;;;
aerofgtb;Aero Fighters (Turbo Force hardware set 1);mame0.37b5;aerofgt;1992;Video System Co.;;;;;;0;;aerofgt;;;;;;;
aerofgtc;Aero Fighters (Turbo Force hardware set 2);mame0.37b5;aerofgt;1992;Video System Co.;;;;;;0;;aerofgt;;;;;;;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;mame0.37b5;;1994;Video System Co.;;;;;;0;;neogeo;;;;;;;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;mame0.37b5;;1995;Video System Co.;;;;;;0;;neogeo;;;;;;;
aeroboto;Aeroboto;mame0.37b5;formatz;1984;[Jaleco] (Williams license);;;;;;0;;formatz;;;;;;;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku;mame0.37b5;;1994;ADK / SNK;;;;;;0;;neogeo;;;;;;;
koshien;Ah Eikou no Koshien (Japan);mame0.37b5;;1990;Taito Corporation;;;;;;0;;;;;;;;;
airbustr;Air Buster (Japan);mame0.37b5;;1990;Kaneko (Namco license);;;;;;0;;;;;;;;;
airduel;Air Duel (Japan);mame0.37b5;;1990;Irem;;;;;;0;;;;;;;;;
airwolf;Air Wolf;mame0.37b5;;1987;Kyugo;;;;;;0;;;;;;;;;
ajax;Ajax;mame0.37b5;;1987;Konami;;;;;;0;;;;;;;;;
ajaxj;Ajax (Japan);mame0.37b5;ajax;1987;Konami;;;;;;0;;ajax;;;;;;;
hcastlej;Akuma-Jou Dracula (Japan);mame0.37b5;hcastle;1988;Konami;;;;;;0;;hcastle;;;;;;;
alcon;Alcon;mame0.37b5;slapfigh;1986;<unknown>;;;;;;0;;slapfigh;;;;;;;
lwingsjp;Ales no Tsubasa (Japan);mame0.37b5;lwings;1986;Capcom;;;;;;0;;lwings;;;;;;;
alexkidd;Alex Kidd (set 1);mame0.37b5;;1986;Sega;;;;;;0;;;;;;;;;
alexkida;Alex Kidd (set 2);mame0.37b5;alexkidd;1986;Sega;;;;;;0;;alexkidd;;;;;;;
alibaba;Ali Baba and 40 Thieves;mame0.37b5;;1982;Sega;;;;;;0;;;;;;;;;
alieninv;Alien Invasion Part II;mame0.37b5;invaders;;bootleg;;;;;;0;;invaders;;;;;;;
astorm;Alien Storm;mame0.37b5;;1990;Sega;;;;;;0;;;;;;;;;
astorm2p;Alien Storm (2 Player);mame0.37b5;astorm;1990;Sega;;;;;;0;;astorm;;;;;;;
astormbl;Alien Storm (bootleg);mame0.37b5;astorm;1990;bootleg;;;;;;0;;astorm;;;;;;;
aliensyj;Alien Syndrome (Japan);mame0.37b5;aliensyn;1987;Sega;;;;;;0;;aliensyn;;;;;;;
aliensyn;Alien Syndrome (set 1);mame0.37b5;;1987;Sega;;;;;;0;;;;;;;;;
aliensya;Alien Syndrome (set 2);mame0.37b5;aliensyn;1987;Sega;;;;;;0;;aliensyn;;;;;;;
aliensyb;Alien Syndrome (set 3);mame0.37b5;aliensyn;1987;Sega;;;;;;0;;aliensyn;;;;;;;
aliensj;Aliens (Japan);mame0.37b5;aliens;1990;Konami;;;;;;0;;aliens;;;;;;;
aliensu;Aliens (US);mame0.37b5;aliens;1990;Konami;;;;;;0;;aliens;;;;;;;
aliens;Aliens (World set 1);mame0.37b5;;1990;Konami;;;;;;0;;;;;;;;;
aliens2;Aliens (World set 2);mame0.37b5;aliens;1990;Konami;;;;;;0;;aliens;;;;;;;
aafbb;All American Football (rev B);mame0.37b5;aafb;1989;Leland Corp.;;;;;;0;;aafb;;;;;;;
aafbd2p;All American Football (rev D, 2 Players);mame0.37b5;aafb;1989;Leland Corp.;;;;;;0;;aafb;;;;;;;
aafb;All American Football (rev E);mame0.37b5;;1989;Leland Corp.;;;;;;0;;;;;;;;;
alleymas;Alley Master;mame0.37b5;;1986;Cinematronics;;;;;;0;;;;;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian;mame0.37b5;;1991;SNK;;;;;;0;;neogeo;;;;;;;
alpine;Alpine Ski (set 1);mame0.37b5;;1982;Taito Corporation;;;;;;0;;;;;;;;;
alpinea;Alpine Ski (set 2);mame0.37b5;alpine;1982;Taito Corporation;;;;;;0;;alpine;;;;;;;
altbeast;Altered Beast (Version 1);mame0.37b5;;1988;Sega;;;;;;0;;;;;;;;;
altbeas2;Altered Beast (Version 2);mame0.37b5;altbeast;1988;Sega;;;;;;0;;altbeast;;;;;;;
maze;Amazing Maze;mame0.37b5;;1976;Midway;;;;;;0;;;;;;;;;
